PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TEAM_ID,GP,PTS,FG_PCT,DREB,DEF_RATING,DEF_WS,Salary,REB,STL,BLK
1627752,Taurean Prince,LAL,1610612747,5,7.4,0.414,2.2,108.3,-0.559,2087519,2.8,0.8,0.2
1630579,Jericho Sims,NYK,1610612752,5,1.4,1,1,78.9,-0.05,2092344,1.6,0.4,0
1641748,Andre Jackson Jr.,MIL,1610612749,5,2.4,0.455,1.2,106.6,-0.298,1891857,3.6,0.4,0
2544,LeBron James,LAL,1610612747,5,27.8,0.566,6,113.2,-1.112,48728845,2.8,0,0
203915,Spencer Dinwiddie,LAL,1610612747,5,3,0.357,1.2,109.8,-0.387,2087519,2.8,0.2,0.2
1631169,Josh Minott,MIN,1610612750,5,1.2,0.222,0.8,70.3,-0.014,2019699,1.2,0.2,0.8
1630559,Austin Reaves,LAL,1610612747,5,16.8,0.476,2.8,116.3,-1.009,12976362,2.4,0.2,0.4
1628389,Bam Adebayo,MIA,1610612748,5,22.6,0.495,7.2,113.8,-1.071,34848340,1.6,0.4,0.2
1628997,Caleb Martin,MIA,1610612748,5,11.6,0.467,2.6,117.6,-1.062,8149001,2.2,1,0.2
1629060,Rui Hachimura,LAL,1610612747,5,7.8,0.395,2.6,115.2,-0.855,17000000,6.8,2.4,1
203076,Anthony Davis,LAL,1610612747,5,27.8,0.634,12.6,114.8,-1.178,43219440,1.4,0.4,0.2
,,,,,,,,,,,1,0,0
,,,,,,,,,,,3.8,1.4,0.6
,,,,,,,,,,,9.4,0.4,0
,,,,,,,,,,,3.6,0.6,0
,,,,,,,,,,,3.8,0,0
,,,,,,,,,,,15.6,0.4,1.6
